"2","well yeah. i had a flu . and it sucks. i don't want to get sick ever in my life again https:// twitter.com/HTTPPUFF/statu s/775565732272758784 …"
"0","Still awake, have class tm and work all day, and I'm sick w the stomach flu it's fine love my life love being an adult"
"0","To get a flu shot and get sick , or no flu shot and chance getting something really nasty...i hate this battle every fall.."
"0","Ash feels sick for ONE day.. And all of a sudden she has Zika, hypothermia, the flu , her insides are bleeding, her legs Gona fall off."
"2","and everyone else on the planet it's flu season! The whole house over here is sick"
"0","Ill? I'l is the flu , you call in sick cuz you're ill. Not, I need help off a curb."
"2","T.T #flu — feeling sick"
"2","Ayikho le yakho... flu ? RT @NanaisTHEname : I'm sick again. Smh"
"0","I am so sick . I lost 10 lbs this month. I can't eat much and I just got the stomach flu . Joy!"
"0","Fuck this flu season i hate getting sick"
"0","Having a bad due coughing, flu nose and sore throat . Can't maintain on the hot weather make me fall sick today"
"0","I'm feeling sick and I ain't got the flu girl I'm missinnnn youuuu"
"0","Even if Hilary is not sickly off some nasty Parkinson's Drug..er.. Flu or whatever...she is still a sick puppy. @realDonaldTrump"
"0","if your talking bout Mills he just got activated, He was sick with the flu , lost weight had not pitched in 2 wks"
"2","I'm love sick like it's just the flu"
"0","I had ginger ale when I was sick with the flu a few months back but I don't count that"
"2","There's a reason that the flu vaccine are a person unattractive, but not debatable whether the flu shot. Obsomeonely if you're sick . Fame."
"2","The flu is for sure going around cause everyone is sick"
"2","I want to be this guy. Being sick fuckin sucks. I want my head removed. #sick #flu #thedionshow … https://www. instagram.com/p/BKSBENhgaS_/"
"2","Tim Gamble: How Not To Get Sick This Cold and Flu Season http://www. timgamble.com/2016/09/how-no t-to-get-sick-this-cols-and-flu.html?spref=tw …"
"0","Work made us get our flu shots a few days ago and now I swear I'm getting sick .I have all the luck."
"2","Feeling #sick & #tired ? Here are 4 tips to improve #cold & #flu #symptoms ! @pamela_a_allen #30SecondMom #health https:// 30secondmom.com/tip/11251"
"2","Sick ,Lil bitch got tha Flu"
"0","girrrrrrl. it would've been a wrap for me, I all of a sudden can't make it to class sick with the flu tbh"
"0","Idk if it's this flu shot I got last week or if it's just time for my seasonal allergies that has me sick like this"
"0","It's stupid how for nursing you have to get the flu vaccination. Like the only time I get sick is when I get this shot..."
"0","I've gone to work w/ stomach flu Should've called CNN Could've made some great headlines woman works while sick "" Oh wait THAT'S WHAT WE DO"""
"2","Don't be like #Hillary . Read my article on How Not To Get Sick This Cold & Flu Season http://www. timgamble.com/2016/09/how-no t-to-get-sick-this-cols-and-flu.html … #news #politics #Trump #gop"
"0","feel so fucking sick , if I have the flu I will actually cry so hard"
"2","Dan sepertinya bakal kena flu ini #fuck #sick #shit"
"0","Really feeling sick right now. It's not a flu or anything so I can go to school. Just watch out for my snout attacks"
"2","Yes ! But if you're still sick try and rest ;n; is it flu or stuff ?"
"0","My bed is full with crippled tissues and bogeys. Haaah flu and cough are horrendous. I don't like being sick ."
"0","Dear Flu Season, Why you make me sick ? Go away! I'm working"
"0","My worst enemy right now is the flu . And it got me good. #hate to be sick 󾌮"
"2","#Sick ? #Cold ? #Flu ? #Allergies ? #Sinusitis ? #SinusInfection ? Get #EucalyptusMint Tarts. http:// dld.bz/eSekr pic.twitter.com/UMwZTk3TtM"
"2","Yoga for when you're sick with a cold or the flu - http:// yogaphotos.xyz/yoga-for-when- youre-sick-with-a-cold-or-the-flu-20/ … #yoga #fitness pic.twitter.com/C9hjL0Bz6R"
"2","ur sick lol its the flu"
"0","Man I hate seeing birds catch the avian flu ; makes them sick af pic.twitter.com/fxmxS8Bf8t"
"0","When your mom tells the kids they have to get their flu shots just so I don't get sick and end up in the hospital, I feel the love"
"0","Need a Dph flu a beat me — feeling sick"
"2","Never fainted in my life, but I've went to my knees plenty of times b/c of being sick . Sinus/ flu /pneumonia can kick your butt!"
"0","I was sick 2 weeks ago all y'all better keep the fuck away from me w this damn flu ."
"2","I've been getting flu shots for years & years - rarely get full sick .Hardly ever need abx. Colds don't last long either."
"2","omg haha. I felt sick on my birthday about 3 weeks ago. But I never blew the flu on a cake before. First time for everything"
